"","id","display_name","artists","artists_IDs","yr","danceability","energy","key","loudness","liveness","tempo","uri","url"
"1.20","1eOCyaSRBdFGofbLYjgGM2","Woman","Neneh Cherry","3JxCEqL9zjKnDJgUhRuRJD","1996",0.542,0.54,3,-8.888,0.198,136.022,"spotify:track:1eOCyaSRBdFGofbLYjgGM2","https://open.spotify.com/track/1eOCyaSRBdFGofbLYjgGM2"
"1.21","1fgvJXlcZ7uIddMpqsqw0L","Love Don't Cost a Thing","Jennifer Lopez","2DlGxzQSjYe5N6G9nkYghR","2001",0.786,0.842,4,-5.115,0.473,97.577,"spotify:track:1fgvJXlcZ7uIddMpqsqw0L","https://open.spotify.com/track/1fgvJXlcZ7uIddMpqsqw0L"
"1.22","1hwN2eAwsXgktvw9Qe8TrP","Photograph","Ringo Starr","6DbJi8AcN5ANdtvJcwBSw8","1974",0.617,0.696,4,-12.739,0.108,111.136,"spotify:track:1hwN2eAwsXgktvw9Qe8TrP","https://open.spotify.com/track/1hwN2eAwsXgktvw9Qe8TrP"
"1.23","1ifq3DVpguU02W6Prh5T3u","Everything's Gonna Be Alright","Sweetbox","6G7NK00vdfxNtdjLOfdUnZ","1998",0.643,0.584,2,-9.073,0.089,84.983,"spotify:track:1ifq3DVpguU02W6Prh5T3u","https://open.spotify.com/track/1ifq3DVpguU02W6Prh5T3u"
"1.24","1OcAgp3z7MldpVcODVRozM","Una noche sin tí","Ana Curra","17GqenWaUzLjbkH0IKJA5m","1985",0.521,0.688,2,-10.327,0.331,146.829,"spotify:track:1OcAgp3z7MldpVcODVRozM","https://open.spotify.com/track/1OcAgp3z7MldpVcODVRozM"
"1.25","1pTGc8pwyo6xtgXBKCBcFn","Woman in Love","Barbra Streisand","7jmTilWYlKOuavFfmQAcu6","1980",0.469,0.278,3,-16.311,0.133,169.735,"spotify:track:1pTGc8pwyo6xtgXBKCBcFn","https://open.spotify.com/track/1pTGc8pwyo6xtgXBKCBcFn"
"1.26","1sWSTIbNXohYgSUNmE25Xp","The Night","Azul Y Negro","2ZumU1IGplRsr3M7VNrH1n","1983",0.776,0.945,5,-6.687,0.0776,133.94,"spotify:track:1sWSTIbNXohYgSUNmE25Xp","https://open.spotify.com/track/1sWSTIbNXohYgSUNmE25Xp"
"1.27","1uI848raFaNWwe9HjHpjQ5","Boys - Summertime Love","Sabrina","1YB5pnFfL7Y2vjRJLPxaLU","1987",0.835,0.679,5,-10.539,0.0611,119.862,"spotify:track:1uI848raFaNWwe9HjHpjQ5","https://open.spotify.com/track/1uI848raFaNWwe9HjHpjQ5"
"1.28","1v2zyAJrChw5JnfafSkwkJ","Shiny Happy People","R.E.M.","4KWTAlx2RvbpseOGMEmROg","1991",0.454,0.901,9,-3.961,0.198,124.56,"spotify:track:1v2zyAJrChw5JnfafSkwkJ","https://open.spotify.com/track/1v2zyAJrChw5JnfafSkwkJ"
"1.29","1vpFjf7k2b6TOfeuVrp4vG","So Young","The Corrs","1VbWUxZTRNY2gw3qZ1tg9W","1999",0.637,0.74,7,-6.536,0.377,104.975,"spotify:track:1vpFjf7k2b6TOfeuVrp4vG","https://open.spotify.com/track/1vpFjf7k2b6TOfeuVrp4vG"
"1.30","1zng9uqqXoPkmU05nsAlsw","Bed Of Roses","Bon Jovi","58lV9VcRSjABbAbfWS6skp","1993",0.313,0.58,5,-5.61,0.214,165.038,"spotify:track:1zng9uqqXoPkmU05nsAlsw","https://open.spotify.com/track/1zng9uqqXoPkmU05nsAlsw"
"1.31","269kNUOWTdD20N0s4ISsfN","Blind Man","Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","1995",0.371,0.716,9,-5.38,0.0471,155.112,"spotify:track:269kNUOWTdD20N0s4ISsfN","https://open.spotify.com/track/269kNUOWTdD20N0s4ISsfN"
"1.32","2f6KXN9AsJ91iYrWTHP7Vh","Sabato pomeriggio","Claudio Baglioni","5zBAb4P2NoTps0shbgZvgj","1976",0.201,0.401,6,-12.551,0.128,76.412,"spotify:track:2f6KXN9AsJ91iYrWTHP7Vh","https://open.spotify.com/track/2f6KXN9AsJ91iYrWTHP7Vh"
"1.33","2kzdiV388lhUEOYACuO2rT","How Much","Gary Low","4MntnRuXrTyjMGt1RF0k8b","1985",0.684,0.949,11,-2.968,0.207,123.386,"spotify:track:2kzdiV388lhUEOYACuO2rT","https://open.spotify.com/track/2kzdiV388lhUEOYACuO2rT"
"1.34","2lvk6CUSHz4j8huQ25gH54","Have You Seen Her","MC Hammer","2rblp9fJo16ZPTcKDtlmKW","1991",0.775,0.378,6,-14.892,0.107,144.16,"spotify:track:2lvk6CUSHz4j8huQ25gH54","https://open.spotify.com/track/2lvk6CUSHz4j8huQ25gH54"
"1.35","2MOOJh1xUgND4rLjB6h4jY","Get Up (Before The Night Is Over)","Technotronic","2Cd98zHVdZeOCisc6Gi2sB","1990",0.79,0.727,6,-11.84,0.0628,123.958,"spotify:track:2MOOJh1xUgND4rLjB6h4jY","https://open.spotify.com/track/2MOOJh1xUgND4rLjB6h4jY"
"1.36","2Op4UmNP8F9zNdK04xGvVh","Te quiero","José Luis Perales","5RwfJb8wxN1fuodcPORVxP","1981",0.4,0.513,2,-6.699,0.128,139.674,"spotify:track:2Op4UmNP8F9zNdK04xGvVh","https://open.spotify.com/track/2Op4UmNP8F9zNdK04xGvVh"
"1.37","2qs5ZcLByNTctJKbhAZ9JE","Congratulations - 1998 Remastered Version","Cliff Richard","2nvKpWcP8etYTq4JrRiUiy","1968",0.489,0.462,4,-13.498,0.0615,93.025,"spotify:track:2qs5ZcLByNTctJKbhAZ9JE","https://open.spotify.com/track/2qs5ZcLByNTctJKbhAZ9JE"
