"","id","display_name","artists","artists_IDs","yr","danceability","energy","key","loudness","liveness","tempo","uri","url"
"5.97","7JGaxoTYPaGmdux8vQDWAw","Imitation Of Life - Live From St. James’s Church, London / 2004","R.E.M.","4KWTAlx2RvbpseOGMEmROg","2001",0.411,0.876,7,-7.663,0.776,131.93,"spotify:track:7JGaxoTYPaGmdux8vQDWAw","https://open.spotify.com/track/7JGaxoTYPaGmdux8vQDWAw"
"5.98","7jK3BKP4SDY3MGHKgbGcp9","Juntos","Paloma San Basilio","1QcwtcwAClkmeaVofZ4zUn","1981",0.584,0.953,10,-4.838,0.276,137.707,"spotify:track:7jK3BKP4SDY3MGHKgbGcp9","https://open.spotify.com/track/7jK3BKP4SDY3MGHKgbGcp9"
"6.1","03a6DTDBlkU0ieqtQNiSWN","Desde Mi Libertad","Ana Belén","4NOZW7dBOmBMMAG9EGQd4t","1980",0.457,0.265,0,-14.322,0.981,83.825,"spotify:track:03a6DTDBlkU0ieqtQNiSWN","https://open.spotify.com/track/03a6DTDBlkU0ieqtQNiSWN"
"6.2","03pFLwXbMOfEjGcoCKqd0l","Jardin De Rosas","Duncan Dhu","2MLHBMApNE5h8wIufiTPs7","1987",0.551,0.941,7,-4.31,0.266,83.53,"spotify:track:03pFLwXbMOfEjGcoCKqd0l","https://open.spotify.com/track/03pFLwXbMOfEjGcoCKqd0l"
"6.3","0aym2LBJBk9DAYuHHutrIl","Hey Jude - Remastered 2015","The Beatles","3WrFJ7ztbogyGnTHbHJFl2","1968",0.386,0.607,10,-7.7,0.088,147.207,"spotify:track:0aym2LBJBk9DAYuHHutrIl","https://open.spotify.com/track/0aym2LBJBk9DAYuHHutrIl"
"6.4","0KAiuUOrLTIkzkpfpn9jb9","Drive By","Train","3FUY2gzHeIiaesXtOAdB7A","2012",0.765,0.837,1,-3.113,0.0801,122.028,"spotify:track:0KAiuUOrLTIkzkpfpn9jb9","https://open.spotify.com/track/0KAiuUOrLTIkzkpfpn9jb9"
"6.5","0LGzNw98FkkHGUWcglGwtH","La Madre","Víctor Manuel","6cFqY5mkBqKqaIYunDg1k8","1988",0.515,0.38,8,-14.162,0.585,87.947,"spotify:track:0LGzNw98FkkHGUWcglGwtH","https://open.spotify.com/track/0LGzNw98FkkHGUWcglGwtH"
"6.6","0n3KPmSpfi8KpmTFRFCs9j","Espinita","Albert Hammond","34E3csCxpXunPGEkOVVX2g","1978",0.814,0.464,9,-12.339,0.0609,125.574,"spotify:track:0n3KPmSpfi8KpmTFRFCs9j","https://open.spotify.com/track/0n3KPmSpfi8KpmTFRFCs9j"
"6.7","0nqbZ17t9v52SCemAm1QP0","Brilliant Disguise","Bruce Springsteen","3eqjTLE0HfPfh78zjh6TqT","1987",0.703,0.726,9,-12.438,0.0319,126.353,"spotify:track:0nqbZ17t9v52SCemAm1QP0","https://open.spotify.com/track/0nqbZ17t9v52SCemAm1QP0"
"6.8","0so2Jlze25HJtPYZnEUMzr","Dile Que la Quiero","David Civera","2DxcVfyMWELUI4yPBxgoZF","2001",0.589,0.902,4,-3.725,0.0795,104.965,"spotify:track:0so2Jlze25HJtPYZnEUMzr","https://open.spotify.com/track/0so2Jlze25HJtPYZnEUMzr"
"6.9","0uc0zqpy99nF71nnT6eW1R","Looking For Clues","Robert Palmer","530Sdm7eqqzWBdDmILMgnu","1981",0.85,0.613,9,-10.936,0.0983,143.517,"spotify:track:0uc0zqpy99nF71nnT6eW1R","https://open.spotify.com/track/0uc0zqpy99nF71nnT6eW1R"
"6.10","0uQcP7QVoLvaFsORsdrgNh","Spaceman","Babylon Zoo","3k7uMwc8FLJmH8RHMh2HF8","1996",0.46,0.873,0,-7.96,0.255,146.247,"spotify:track:0uQcP7QVoLvaFsORsdrgNh","https://open.spotify.com/track/0uQcP7QVoLvaFsORsdrgNh"
"6.11","0XPayKZFFZA2PwSRNi1pVU","Terriblemente Cruel","Leiva","5Hsv8dUHHOdnn72q4XIVz7","2014",0.549,0.831,0,-4.17,0.0842,125.594,"spotify:track:0XPayKZFFZA2PwSRNi1pVU","https://open.spotify.com/track/0XPayKZFFZA2PwSRNi1pVU"
"6.12","16FBzzwggGrMRVKab9dcDc","Todo Irá Bien","Chenoa","0i3ypO6G38iZmANDHWZxlY","2007",0.675,0.837,3,-3.919,0.239,97.999,"spotify:track:16FBzzwggGrMRVKab9dcDc","https://open.spotify.com/track/16FBzzwggGrMRVKab9dcDc"
"6.13","17CPezzLWzvGfpZW6X8XT0","Say You, Say Me","Lionel Richie","3gMaNLQm7D9MornNILzdSl","1986",0.64,0.406,8,-11.129,0.0865,128.026,"spotify:track:17CPezzLWzvGfpZW6X8XT0","https://open.spotify.com/track/17CPezzLWzvGfpZW6X8XT0"
"6.14","17DrqnUASfxDK5OsHed5Jp","Vivimos siempre juntos","Nacho Cano","3sNPNZwXgDcCY71Jqa7kMe","1996",0.729,0.709,9,-9.166,0.0918,117.693,"spotify:track:17DrqnUASfxDK5OsHed5Jp","https://open.spotify.com/track/17DrqnUASfxDK5OsHed5Jp"
"6.15","17h7MTUjjARo2UJ2wSFraI","Ya Esta Bien!","Celtas Cortos","3hIPQBm8PBt8B5aahP6cVP","1992",0.558,0.956,7,-3.833,0.312,131.906,"spotify:track:17h7MTUjjARo2UJ2wSFraI","https://open.spotify.com/track/17h7MTUjjARo2UJ2wSFraI"
"6.16","1azrGKQUcLuY7CR490cMEM","Ave Lucia","Sergio Dalma","7x6XYw3yCC67Pizi4o0wvZ","1992",0.51,0.294,11,-15.874,0.0689,132.177,"spotify:track:1azrGKQUcLuY7CR490cMEM","https://open.spotify.com/track/1azrGKQUcLuY7CR490cMEM"
"6.17","1DAMVzwIs5TN5etWXONsPy","Do Ya","Dover","5kdLOinhQnlSk4su7U6lyW","2007",0.609,0.808,6,-2.079,0.0853,131.99,"spotify:track:1DAMVzwIs5TN5etWXONsPy","https://open.spotify.com/track/1DAMVzwIs5TN5etWXONsPy"
"6.18","1Exn1NYlMHkurl4saKtXcb","Lola","Los Brincos","01O7L4gnkTLgiCLcNhUAlK","1967",0.43,0.48,8,-6.843,0.0694,199.022,"spotify:track:1Exn1NYlMHkurl4saKtXcb","https://open.spotify.com/track/1Exn1NYlMHkurl4saKtXcb"
"6.19","1j41o4au1RfkOe7Mw9UsCx","Una Paloma Blanca","George Baker","1nWVAz0ZMSKzLVB5oF23Vk","1975",0.697,0.712,5,-10.605,0.196,132.801,"spotify:track:1j41o4au1RfkOe7Mw9UsCx","https://open.spotify.com/track/1j41o4au1RfkOe7Mw9UsCx"
"6.20","1kNYtVbgjO4EgDUWNBdT7c","Mania","Babel Fish","5Je0QjgmxLgPaCIqjbfvHo","1999",0.563,0.796,10,-5.539,0.353,105.998,"spotify:track:1kNYtVbgjO4EgDUWNBdT7c","https://open.spotify.com/track/1kNYtVbgjO4EgDUWNBdT7c"
"6.21","1LQ7CX91iniEXCasBSiKrd","Cometas por el Cielo","La Oreja de Van Gogh","4U7lXyKdSf1JbM1aXvsodC","2012",0.503,0.577,5,-7.42,0.123,141.922,"spotify:track:1LQ7CX91iniEXCasBSiKrd","https://open.spotify.com/track/1LQ7CX91iniEXCasBSiKrd"
"6.22","1msphInQ8bBBQGFZkll7FX","En Que Estrella Estara","Nena Daconte","58ZTr51uERVdMQbfDbc5B3","2006",0.73,0.378,5,-7.441,0.0869,170.044,"spotify:track:1msphInQ8bBBQGFZkll7FX","https://open.spotify.com/track/1msphInQ8bBBQGFZkll7FX"
"6.23","1NCuYqMc8hKMb4cpNTcJbD","Another Day In Paradise - 2016 Remastered","Phil Collins","4lxfqrEsLX6N1N4OCSkILp","1990",0.78,0.565,3,-7.32,0.063,101.967,"spotify:track:1NCuYqMc8hKMb4cpNTcJbD","https://open.spotify.com/track/1NCuYqMc8hKMb4cpNTcJbD"
"6.24","1Rvl8qsKJurfFTyWLBI9ib","Baby, I Love Your Way","Big Mountain","0Jeckitay8SbvKwqAzWuYH","1994",0.651,0.747,1,-7.269,0.207,147.518,"spotify:track:1Rvl8qsKJurfFTyWLBI9ib","https://open.spotify.com/track/1Rvl8qsKJurfFTyWLBI9ib"
"6.25","1z3ugFmUKoCzGsI6jdY4Ci","Like A Prayer","Madonna","6tbjWDEIzxoDsBA1FuhfPW","1989",0.624,0.842,5,-5.285,0.181,111.037,"spotify:track:1z3ugFmUKoCzGsI6jdY4Ci","https://open.spotify.com/track/1z3ugFmUKoCzGsI6jdY4Ci"
"6.26","20py7D7lxiZEJcZW4lLCMu","Love...Thy Will Be Done","Martika","40enFxfEXXsEXKOt1vgx0k","1992",0.666,0.26,2,-13.692,0.156,91.364,"spotify:track:20py7D7lxiZEJcZW4lLCMu","https://open.spotify.com/track/20py7D7lxiZEJcZW4lLCMu"
"6.27","23PayDM4dRdm1dvzGimKZ1","Let's Talk About Me","The Alan Parsons Project","2m62cc253Xvd9qYQ8d2X3d","1985",0.655,0.412,0,-10.877,0.325,143.099,"spotify:track:23PayDM4dRdm1dvzGimKZ1","https://open.spotify.com/track/23PayDM4dRdm1dvzGimKZ1"
"6.28","2aegLCwIWlVYvCjUf641Qr","La Herida","Heroes Del Silencio","3qAPxVwIQRBuz5ImPUxpZT","1993",0.224,0.741,9,-9.767,0.103,160.149,"spotify:track:2aegLCwIWlVYvCjUf641Qr","https://open.spotify.com/track/2aegLCwIWlVYvCjUf641Qr"
"6.29","2aUkWINLeAZaXvKp3XEsC0","You Owe It All To Me","Texas","5JsdVATHNPE0XdMFMRoSuf","1994",0.605,0.702,5,-7.501,0.584,92.695,"spotify:track:2aUkWINLeAZaXvKp3XEsC0","https://open.spotify.com/track/2aUkWINLeAZaXvKp3XEsC0"
"6.30","2DWO9x9rhszjJsabuPqp8P","Happy","Leona Lewis","5lKZWd6HiSCLfnDGrq9RAm","2010",0.492,0.641,0,-5.296,0.0809,76.07,"spotify:track:2DWO9x9rhszjJsabuPqp8P","https://open.spotify.com/track/2DWO9x9rhszjJsabuPqp8P"
"6.31","2hfv8QRES8BwT49kO0Hhmd","Bajo la Luz de la Luna","Los Rebeldes","5xL4xxrHU7qleELxk85vAo","1989",0.603,0.554,9,-12.392,0.144,105.992,"spotify:track:2hfv8QRES8BwT49kO0Hhmd","https://open.spotify.com/track/2hfv8QRES8BwT49kO0Hhmd"
"6.32","2IAtnd4UG52HQP9Rwart5h","La Bomba","Ricky Martin","7slfeZO9LsJbWgpkIoXBUJ","1998",0.715,0.949,10,-5.88,0.165,99.198,"spotify:track:2IAtnd4UG52HQP9Rwart5h","https://open.spotify.com/track/2IAtnd4UG52HQP9Rwart5h"
"6.33","2II03llydk4YnkBBvoYB3B","Frozen","Madonna","6tbjWDEIzxoDsBA1FuhfPW","1998",0.602,0.616,1,-10.917,0.149,108.017,"spotify:track:2II03llydk4YnkBBvoYB3B","https://open.spotify.com/track/2II03llydk4YnkBBvoYB3B"
"6.34","2Iv4HSoMX2fDeXFcOJWyWX","Until It Sleeps","Metallica","2ye2Wgw4gimLv2eAKyk1NB","1996",0.577,0.914,8,-4.392,0.186,113.403,"spotify:track:2Iv4HSoMX2fDeXFcOJWyWX","https://open.spotify.com/track/2Iv4HSoMX2fDeXFcOJWyWX"
"6.35","2LvmsbNheRsYI6k2uwtrR6","Tardes negras","Tiziano Ferro","11TplWqOPQBTmg2eiSLt1m","2004",0.623,0.551,6,-6.719,0.0979,135.982,"spotify:track:2LvmsbNheRsYI6k2uwtrR6","https://open.spotify.com/track/2LvmsbNheRsYI6k2uwtrR6"
"6.36","2Ms33RTRCT6gArrpcrPxmo","Feel","Robbie Williams","2HcwFjNelS49kFbfvMxQYw","2003",0.599,0.732,5,-6.843,0.143,97.989,"spotify:track:2Ms33RTRCT6gArrpcrPxmo","https://open.spotify.com/track/2Ms33RTRCT6gArrpcrPxmo"
"6.37","2NlKIrxMBqmDYghLuSUP1I","Ne me parle plus d'amour (No Me Vuelvo a Enamorar)","Julio Iglesias","4etuCZVdP8yiNPn4xf0ie5","1982",0.426,0.633,10,-5.042,0.108,101.73,"spotify:track:2NlKIrxMBqmDYghLuSUP1I","https://open.spotify.com/track/2NlKIrxMBqmDYghLuSUP1I"
"6.38","2oWvlpsmsAsiSeR4b4JdMl","Summer Sunshine","The Corrs","1VbWUxZTRNY2gw3qZ1tg9W","2004",0.73,0.61,5,-6.56,0.112,121.515,"spotify:track:2oWvlpsmsAsiSeR4b4JdMl","https://open.spotify.com/track/2oWvlpsmsAsiSeR4b4JdMl"
"6.39","2pZbERJUZsfkKRn1EU1mgD","You Can Win If You Want","Modern Talking","79bxUQsBIXO8nVLB9fYKf7","1985",0.792,0.842,6,-7.589,0.0582,108.01,"spotify:track:2pZbERJUZsfkKRn1EU1mgD","https://open.spotify.com/track/2pZbERJUZsfkKRn1EU1mgD"
"6.40","2SxtZcr9RPVvKnVPqUmiPe","Quiero Ser","Amaia Montero","4LbuSjHhhAddvN44qXpRJo","2009",0.667,0.655,7,-4.755,0.115,137.052,"spotify:track:2SxtZcr9RPVvKnVPqUmiPe","https://open.spotify.com/track/2SxtZcr9RPVvKnVPqUmiPe"
"6.41","2VbsqI4kdCwrAzRRqdrjOL","Champú de huevo","Tino Casal","3PWELXN8Bl961nrQGPVk3u","1981",0.634,0.872,7,-5.628,0.0551,136.721,"spotify:track:2VbsqI4kdCwrAzRRqdrjOL","https://open.spotify.com/track/2VbsqI4kdCwrAzRRqdrjOL"
"6.42","2xU2QWzGunslGXtJbmYbeE","Barrel of a Gun","Depeche Mode","762310PdDnwsDxAQxzQkfX","1997",0.521,0.948,4,-5.214,0.0618,165.873,"spotify:track:2xU2QWzGunslGXtJbmYbeE","https://open.spotify.com/track/2xU2QWzGunslGXtJbmYbeE"
"6.43","2y4lAQpi5VTNLu2ldeTdUH","We Can't Stop","Miley Cyrus","5YGY8feqx7naU7z4HrwZM6","2013",0.613,0.622,1,-5.794,0.37,80.003,"spotify:track:2y4lAQpi5VTNLu2ldeTdUH","https://open.spotify.com/track/2y4lAQpi5VTNLu2ldeTdUH"
"6.44","3050wdXeRhshh4rInDk6ua","Rutinas (Little Miss Hypocrite)","Chenoa","0i3ypO6G38iZmANDHWZxlY","2006",0.474,0.716,11,-5.447,0.134,171.626,"spotify:track:3050wdXeRhshh4rInDk6ua","https://open.spotify.com/track/3050wdXeRhshh4rInDk6ua"
"6.45","30crc7BLEzXJp4H7BSj30C","Solo Tú","Camilo Sesto","2Cy7KBSkqu7otJfuMTWT7Y","1977",0.31,0.557,0,-8.366,0.471,142.16,"spotify:track:30crc7BLEzXJp4H7BSj30C","https://open.spotify.com/track/30crc7BLEzXJp4H7BSj30C"
"6.46","33EXSUQcBZSY2RDTmybCBa","No Te Rindas","La Trampa","1391APnUgDXi7nRs9LuOEL","1993",0.708,0.658,9,-7.653,0.0716,112.15,"spotify:track:33EXSUQcBZSY2RDTmybCBa","https://open.spotify.com/track/33EXSUQcBZSY2RDTmybCBa"
"6.47","3cqZlRpC4lOnxUE7HE3N5k","Move Your Body - Gabry Ponte Original Radio Edit","Eiffel 65","64rxQRJsLgZwHHyWKB8fiF","2000",0.745,0.958,7,-9.664,0.533,129.962,"spotify:track:3cqZlRpC4lOnxUE7HE3N5k","https://open.spotify.com/track/3cqZlRpC4lOnxUE7HE3N5k"
"6.48","3CzW28pUBhMgmzdEi7cq3R","Soy Bellisimo (In the Style of Gonzalo) [Karaoke Version]","Ameritz Spanish Karaoke","5ci9IIQug1H805VOYnaliA","1978",0.286,0.402,0,-10.276,0.0575,117.17,"spotify:track:3CzW28pUBhMgmzdEi7cq3R","https://open.spotify.com/track/3CzW28pUBhMgmzdEi7cq3R"
"6.49","3F4JxbEkur9ZXAtQ5GFVXB","Suburbia","Pet Shop Boys","2ycnb8Er79LoH2AsR5ldjh","1987",0.53,0.873,0,-10.572,0.119,126.16,"spotify:track:3F4JxbEkur9ZXAtQ5GFVXB","https://open.spotify.com/track/3F4JxbEkur9ZXAtQ5GFVXB"
"6.50","3H4gp39BIC4t3guLhjJBZr","Estoy enfermo (con Melendi)","Pignoise","21ttsUKZ3y2Hm6nduyvbAw","2009",0.569,0.831,11,-3.177,0.0603,100.022,"spotify:track:3H4gp39BIC4t3guLhjJBZr","https://open.spotify.com/track/3H4gp39BIC4t3guLhjJBZr"
"6.51","3JhllUTyXy2ceSTzNSErBC","Días de verano","Amaral","4OkeTQCk0fvX6VBYpOOxDi","2005",0.487,0.842,6,-2.509,0.101,139.781,"spotify:track:3JhllUTyXy2ceSTzNSErBC","https://open.spotify.com/track/3JhllUTyXy2ceSTzNSErBC"
"6.52","3QRM0qZB7oMYavveH0iEqx","Here Comes the Hotstepper - Heartical Mix","Ini Kamoze","1VJspRsoC6c0bvqhnSiFCs","1995",0.889,0.454,4,-8.598,0.203,100.36,"spotify:track:3QRM0qZB7oMYavveH0iEqx","https://open.spotify.com/track/3QRM0qZB7oMYavveH0iEqx"
"6.53","3R7fjB38qajI6JR69y5k4e","Walking Away","Craig David","2JyWXPbkqI5ZJa3gwqVa0c","2001",0.596,0.686,9,-6.371,0.121,172.835,"spotify:track:3R7fjB38qajI6JR69y5k4e","https://open.spotify.com/track/3R7fjB38qajI6JR69y5k4e"
"6.54","3w3y8KPTfNeOKPiqUTakBh","Locked Out Of Heaven","Bruno Mars","0du5cEVh5yTK9QJze8zA0C","2013",0.726,0.698,5,-4.165,0.309,143.994,"spotify:track:3w3y8KPTfNeOKPiqUTakBh","https://open.spotify.com/track/3w3y8KPTfNeOKPiqUTakBh"
"6.55","3yeyYSM42bYnMn7x2OoJtU","Tentación","José Luis Perales","5RwfJb8wxN1fuodcPORVxP","1984",0.332,0.391,10,-8.37,0.124,80.286,"spotify:track:3yeyYSM42bYnMn7x2OoJtU","https://open.spotify.com/track/3yeyYSM42bYnMn7x2OoJtU"
"6.56","42cxPm9jgbaxIVN77XA1m6","Tender","Blur","7MhMgCo0Bl0Kukl93PZbYS","1999",0.587,0.566,9,-9.932,0.0644,76.054,"spotify:track:42cxPm9jgbaxIVN77XA1m6","https://open.spotify.com/track/42cxPm9jgbaxIVN77XA1m6"
"6.57","4avSaixVwu8uqfSs7zgoj3","Livin' On The Edge","Aerosmith","7Ey4PD4MYsKc5I2dolUwbH","1993",0.399,0.881,2,-4.341,0.39,84.58,"spotify:track:4avSaixVwu8uqfSs7zgoj3","https://open.spotify.com/track/4avSaixVwu8uqfSs7zgoj3"
"6.58","4Ha3yYGXzyBSC7LdxWXDY0","Milonga Del Marinero Y El Capitan","Los Rodriguez","3XkJyJgJDxnjdQgH0zfT8K","1995",0.538,0.926,4,-4.132,0.311,96.382,"spotify:track:4Ha3yYGXzyBSC7LdxWXDY0","https://open.spotify.com/track/4Ha3yYGXzyBSC7LdxWXDY0"
"6.59","4iB2CoHGEC7kM4ye9u6A19","¿Quién Será?","Camilo Sesto","2Cy7KBSkqu7otJfuMTWT7Y","1979",0.478,0.848,5,-2.673,0.0642,147.479,"spotify:track:4iB2CoHGEC7kM4ye9u6A19","https://open.spotify.com/track/4iB2CoHGEC7kM4ye9u6A19"
"6.60","4K1cVsQSh95FHvwOmKvYtm","To Make A Big Man Cry","Tom Jones","1T0wRBO0CK0vK8ouUMqEl5","1966",0.366,0.5,5,-10.688,0.132,101.956,"spotify:track:4K1cVsQSh95FHvwOmKvYtm","https://open.spotify.com/track/4K1cVsQSh95FHvwOmKvYtm"
"6.61","4KNqYkxaep4MSs8U47M4Ou","Dejad Que Las Niñas Se Acerquen A Mi","Hombres G","60uh2KYYSCqAgJNxcU4DA0","1986",0.697,0.799,1,-9.292,0.0895,147.716,"spotify:track:4KNqYkxaep4MSs8U47M4Ou","https://open.spotify.com/track/4KNqYkxaep4MSs8U47M4Ou"
"6.62","4Nv8o9ahmrJPdiufaAQxoZ","Un adiós - Remastered 2014","Tony Landa","0zupYreleUOvFg9EQCN09i","1976",0.419,0.866,4,-4.161,0.221,153.404,"spotify:track:4Nv8o9ahmrJPdiufaAQxoZ","https://open.spotify.com/track/4Nv8o9ahmrJPdiufaAQxoZ"
"6.63","4oCGALJSQZxLnsnPPgShln","Veneno en la Piel","Radio Futura","4qKJA8Cf8R44cMThP6q8KM","1990",0.692,0.797,2,-11.34,0.12,139.498,"spotify:track:4oCGALJSQZxLnsnPPgShln","https://open.spotify.com/track/4oCGALJSQZxLnsnPPgShln"
"6.64","4RDEeNEdZBmDst0JRSbcCY","Ayudadme","Camilo Sesto","2Cy7KBSkqu7otJfuMTWT7Y","1974",0.292,0.487,3,-10.314,0.0979,170.406,"spotify:track:4RDEeNEdZBmDst0JRSbcCY","https://open.spotify.com/track/4RDEeNEdZBmDst0JRSbcCY"
"6.65","4T3o83F13gwUaF0xCtAfNl","Perdona","Tiziano Ferro","11TplWqOPQBTmg2eiSLt1m","2002",0.748,0.708,6,-4.673,0.0616,95.08,"spotify:track:4T3o83F13gwUaF0xCtAfNl","https://open.spotify.com/track/4T3o83F13gwUaF0xCtAfNl"
"6.66","4TuAusz6pmk9LBkuDHqM0a","Conspiración","Ole Ole","7qHvHD5y98by1dMKGHT1kY","1984",0.692,0.856,1,-3.906,0.0253,160.15,"spotify:track:4TuAusz6pmk9LBkuDHqM0a","https://open.spotify.com/track/4TuAusz6pmk9LBkuDHqM0a"
"6.67","4VrWlk8IQxevMvERoX08iC","Chandelier","Sia","5WUlDfRSoLAfcVSX1WnrxN","2014",0.399,0.787,1,-2.88,0.0685,117.089,"spotify:track:4VrWlk8IQxevMvERoX08iC","https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC"
"6.68","57h06SZNL6LJ3YKZ1UGCeu","Sadeness","Enigma","3DmG65yHQsMms7WAvrZOdt","1991",0.588,0.644,7,-9.547,0.092,95.647,"spotify:track:57h06SZNL6LJ3YKZ1UGCeu","https://open.spotify.com/track/57h06SZNL6LJ3YKZ1UGCeu"
"6.69","57iDDD9N9tTWe75x6qhStw","Bitter Sweet Symphony","The Verve","2cGwlqi3k18jFpUyTrsR84","1997",0.356,0.917,9,-6.006,0.406,171.176,"spotify:track:57iDDD9N9tTWe75x6qhStw","https://open.spotify.com/track/57iDDD9N9tTWe75x6qhStw"
"6.70","5g6o2ZEegnAI3MczbwZaTZ","Calling Elvis","Dire Straits","0WwSkZ7LtFUFjGjMZBMt6T","1991",0.617,0.56,4,-11.56,0.112,120.046,"spotify:track:5g6o2ZEegnAI3MczbwZaTZ","https://open.spotify.com/track/5g6o2ZEegnAI3MczbwZaTZ"
"6.71","5g93mznZPZnFigfjVPwYDN","Seras Mi Complice","Cómplices","4VIU80QkcrMEdKoiWmnWvr","1988",0.492,0.929,2,-3.725,0.0694,79.891,"spotify:track:5g93mznZPZnFigfjVPwYDN","https://open.spotify.com/track/5g93mznZPZnFigfjVPwYDN"
"6.72","5ghK0HIUO2JIQdchkXCuEo","Que Corra El Aire","Manuel Carrasco","7qAoXV4U0qDxQAUqhszjAA","2003",0.618,0.764,7,-5.41,0.127,116.061,"spotify:track:5ghK0HIUO2JIQdchkXCuEo","https://open.spotify.com/track/5ghK0HIUO2JIQdchkXCuEo"
"6.73","5m4yG85On6lzPBkfKI5rKA","Llueve en mi corazón","Tennessee","53c6LILCfJcDt4MfXOWClk","1991",0.791,0.66,2,-6.353,0.389,121.069,"spotify:track:5m4yG85On6lzPBkfKI5rKA","https://open.spotify.com/track/5m4yG85On6lzPBkfKI5rKA"
"6.74","5oVGv4jgsgA3yBHStvzp0r","Qué Será (O Qué Será)","Ana Belén","4NOZW7dBOmBMMAG9EGQd4t","1981",0.584,0.932,6,-4.942,0.0853,91.097,"spotify:track:5oVGv4jgsgA3yBHStvzp0r","https://open.spotify.com/track/5oVGv4jgsgA3yBHStvzp0r"
"6.75","5qjVtEglMJOGe3xCCbjN25","Theme From Love Story","Francis Lai","0Lf3tvw0Rzwr38KDrShstn","1971",0.296,0.11,9,-20.613,0.146,70.67,"spotify:track:5qjVtEglMJOGe3xCCbjN25","https://open.spotify.com/track/5qjVtEglMJOGe3xCCbjN25"
"6.76","5UQkeBzkvJXq2fMae4Qpcp","Charly","Santabarbara","21959TuRztg6yjUFN2lT8C","1973",0.489,0.366,4,-11.879,0.16,59.806,"spotify:track:5UQkeBzkvJXq2fMae4Qpcp","https://open.spotify.com/track/5UQkeBzkvJXq2fMae4Qpcp"
"6.77","682XA3YiwsgzVgnijAyPfo","Los Ojos Del Gato","Luz Casal","1HUbv0v2f9HNE6qIbB35El","1984",0.644,0.734,10,-11.341,0.0994,100.683,"spotify:track:682XA3YiwsgzVgnijAyPfo","https://open.spotify.com/track/682XA3YiwsgzVgnijAyPfo"
"6.78","683IrkbcXuMdKv2Xwvjzo4","A Contratiempo","Ana Torroja","5YekZn3GGnPIURNA6RG124","1997",0.69,0.436,6,-11.446,0.0881,164.036,"spotify:track:683IrkbcXuMdKv2Xwvjzo4","https://open.spotify.com/track/683IrkbcXuMdKv2Xwvjzo4"
"6.79","6ac0Jdnw7QDOhRkzWaKwPS","Bailando - Versión single","Alaska Y Los Pegamoides","60LKzdjqtmposRWQbVnGAI","1982",0.548,0.968,2,-2.581,0.0508,124.612,"spotify:track:6ac0Jdnw7QDOhRkzWaKwPS","https://open.spotify.com/track/6ac0Jdnw7QDOhRkzWaKwPS"
"6.80","6BA5HXZRBg1qhJ2b4Gi93Q","Lady Blue","Bunbury","4uqzzJg3ww5eH7IgGV7DMT","2002",0.546,0.539,10,-5.613,0.231,104.029,"spotify:track:6BA5HXZRBg1qhJ2b4Gi93Q","https://open.spotify.com/track/6BA5HXZRBg1qhJ2b4Gi93Q"
"6.81","6fM4uVlC2brb5Di9O1vvry","Te necesito","Luis Miguel","2nszmSgqreHSdJA3zWPyrW","2003",0.557,0.759,10,-6.404,0.109,170.028,"spotify:track:6fM4uVlC2brb5Di9O1vvry","https://open.spotify.com/track/6fM4uVlC2brb5Di9O1vvry"
"6.82","6FPiLqKjr2Ihuft7EhtUl3","This Is My Life (Jt Vannelli Mix)","Eartha Kitt","1AwO9pWEBSBoWdEZu28XDC","1986",0.761,0.661,2,-7.465,0.17,128.041,"spotify:track:6FPiLqKjr2Ihuft7EhtUl3","https://open.spotify.com/track/6FPiLqKjr2Ihuft7EhtUl3"
"6.83","6iN0pAMMz0IP7ozNBuMXL3","Escucha atento","Laura Pausini","2e4nwiX8ZCU09LGLOpeqTH","2004",0.561,0.757,4,-4.886,0.116,163.695,"spotify:track:6iN0pAMMz0IP7ozNBuMXL3","https://open.spotify.com/track/6iN0pAMMz0IP7ozNBuMXL3"
"6.84","6QfPJIAPUQgE4vzZODwMs1","Chico Tienes Que Cuidarte","Hombres G","60uh2KYYSCqAgJNxcU4DA0","1989",0.728,0.623,9,-12.129,0.0442,103.996,"spotify:track:6QfPJIAPUQgE4vzZODwMs1","https://open.spotify.com/track/6QfPJIAPUQgE4vzZODwMs1"
"6.85","6RTTCGRUuAUStaxldrKgHo","El Refugio (""Just Give Me Shelter (From The Rain)"")","Miguel Rios","1dpnxi6xgoB2kaRYnnoatZ","1972",0.442,0.766,2,-6.883,0.127,83.446,"spotify:track:6RTTCGRUuAUStaxldrKgHo","https://open.spotify.com/track/6RTTCGRUuAUStaxldrKgHo"
"6.86","6rubBQIodd9V1HfKS4oeNy","No despertaré - Las Ventas 20 de septiembre 2014","Sergio Dalma","7x6XYw3yCC67Pizi4o0wvZ","1995",0.39,0.87,2,-6.502,0.698,127.371,"spotify:track:6rubBQIodd9V1HfKS4oeNy","https://open.spotify.com/track/6rubBQIodd9V1HfKS4oeNy"
"6.87","6udZus2RwDVhD3zateRfFy","Embrujada","Tino Casal","3PWELXN8Bl961nrQGPVk3u","1983",0.725,0.942,10,-3.94,0.12,120.803,"spotify:track:6udZus2RwDVhD3zateRfFy","https://open.spotify.com/track/6udZus2RwDVhD3zateRfFy"
